doctor_name,gender,specialty,experience,availability,hospital,city,latitude,longitude,emergency_available
Dr. Sara Sheikh,Female,Pediatrician,20 years,Everyday,Homagama Base Hospital,Homagama,6.84690735048827,79.9923650787939,yes
Dr. Sara Raza,Male,Neurologist,8 years,Everyday,Homagama Base Hospital,Homagama,6.84690735048827,79.9923650787939,yes
Dr. Fatima Sheikh,Female,Dermatologist,8 years,Mon-Fri,Agarapatana Divisional Hospital,,6.87011424198573,80.6852924879206,
Dr. Zain Malik,Female,Neurologist,15 years,Tue-Thu,Nawinna Channeling Centre,,,,
Dr. Omar Sheikh,Female,Dermatologist,13 years,Tue-Thu,Nawinna Channeling Centre,,,,
Dr. Zain Khan,Male,Dermatologist,15 years,Mon-Fri,Nawinna Channeling Centre,,,,
Dr. Zain Raza,Male,Cardiologist,14 years,Mon-Fri,Dambulla General Provincial Hospital,,7.87282489010303,80.6505049913605,
Dr. Amna Chaudhry,Female,Cardiologist,5 years,Everyday,Dental Surgery,,6.92510447212686,79.864668376507,
Dr. Amna Hussain,Female,Neurologist,13 years,Tue-Thu,District General Hospital Ampara,,7.29894992652035,81.6892024187439,
Dr. Amna Hussain,Male,Pediatrician,15 years,Mon-Fri,Base General Hospital,,,,yes
Dr. Sara Ahmed,Female,Cardiologist,5 years,Weekends,Divisional Hospital Vidathalthivu,,9.01093018038176,80.0655414404316,
Dr. Ayesha Chaudhry,Male,Orthopedic Surgeon,12 years,Everyday,Base Hospital Point pedro,,,,yes
Dr. Fatima Chaudhry,Female,Orthopedic Surgeon,18 years,Everyday,Base Hospital Point pedro,,,,yes
Dr. Omar Chaudhry,Female,Orthopedic Surgeon,8 years,Weekends,Wathupitiwala Base Hospital,Wathupitiwala,,,yes
Dr. Ayesha Sheikh,Female,Orthopedic Surgeon,9 years,Tue-Thu,Wathupitiwala Base Hospital,Wathupitiwala,,,yes
Dr. Bilal Ahmed,Female,Orthopedic Surgeon,18 years,Everyday,Angoda Mental Hospital,Angoda,,,
Dr. Amna Ahmed,Female,Orthopedic Surgeon,15 years,Tue-Thu,Angoda Mental Hospital,Angoda,,,
Dr. Omar Sheikh,Female,Pediatrician,5 years,Tue-Thu,Angoda Mental Hospital,Angoda,,,
Dr. Ali Sheikh,Male,Pediatrician,7 years,Mon-Fri,Co-operative Hospital,,6.97790476242585,80.7656050342821,
Dr. Sara Malik,Male,Pediatrician,20 years,Everyday,Co-operative Hospital,,6.97790476242585,80.7656050342821,
Dr. Bilal Malik,Female,Cardiologist,17 years,Weekends,Ayurweda Hospital Narammala,,7.43257003596094,80.212594387898,
Dr. Amna Sheikh,Female,Cardiologist,16 years,Tue-Thu,Ayurweda Hospital Narammala,,7.43257003596094,80.212594387898,
Dr. Zain Hussain,Male,Orthopedic Surgeon,15 years,Mon-Fri,Ayurweda Hospital Narammala,,7.43257003596094,80.212594387898,
Dr. Ali Hussain,Male,Orthopedic Surgeon,5 years,Tue-Thu,Central Hospital and Maternity Home (Pvt) Ltd,Trincomalee,,,no
Dr. Ayesha Sheikh,Female,Orthopedic Surgeon,12 years,Tue-Thu,Central Hospital and Maternity Home (Pvt) Ltd,Trincomalee,,,no
Dr. Bilal Raza,Male,Dermatologist,14 years,Weekends,Bentota Hospital,,,,
Dr. Ayesha Khan,Female,Cardiologist,11 years,Everyday,Divisional Hospital,,7.24982669332456,81.7135552840433,
Dr. Fatima Khan,Male,Cardiologist,19 years,Mon-Fri,Wellawa,Wellawa,,,
Dr. Fatima Hussain,Male,Cardiologist,12 years,Weekends,Wellawa,Wellawa,,,
Dr. Sara Chaudhry,Male,Dermatologist,11 years,Everyday,Hemas Southern Hospital,,,,
Dr. Fatima Chaudhry,Male,Cardiologist,5 years,Everyday,Hemas Southern Hospital,,,,
Dr. Bilal Chaudhry,Male,Pediatrician,12 years,Weekends,Yakghapitiya Divisional Hospital,,7.29864599871129,80.6676498390258,
Dr. Bilal Khan,Female,Pediatrician,11 years,Everyday,Yakghapitiya Divisional Hospital,,7.29864599871129,80.6676498390258,
Dr. Fatima Hussain,Female,Orthopedic Surgeon,17 years,Tue-Thu,Helmut Kohl Maternity Hospital,,6.06758473168603,80.2233987449077,
Dr. Amna Raza,Female,Neurologist,18 years,Everyday,Helmut Kohl Maternity Hospital,,6.06758473168603,80.2233987449077,
Dr. Amna Raza,Male,Pediatrician,20 years,Tue-Thu,Helmut Kohl Maternity Hospital,,6.06758473168603,80.2233987449077,
Dr. Bilal Chaudhry,Female,Pediatrician,8 years,Weekends,Rideegama Divisional Hospital,,,,
Dr. Sara Hussain,Male,Orthopedic Surgeon,6 years,Everyday,Rideegama Divisional Hospital,,,,
Dr. Zain Sheikh,Male,Orthopedic Surgeon,9 years,Tue-Thu,Sigiriya Base Hospital,Sigiriya,7.94174182000501,80.7321820277397,
Dr. Amna Malik,Male,Cardiologist,17 years,Everyday,Sigiriya Base Hospital,Sigiriya,7.94174182000501,80.7321820277397,
Dr. Amna Raza,Female,Pediatrician,6 years,Everyday,Sigiriya Base Hospital,Sigiriya,7.94174182000501,80.7321820277397,
Dr. Fatima Hussain,Female,Pediatrician,8 years,Tue-Thu,MDK Health Care Center & Hospital,Horana,,,
Dr. Ayesha Raza,Male,Neurologist,14 years,Mon-Fri,MDK Health Care Center & Hospital,Horana,,,
Dr. Fatima Malik,Male,Cardiologist,15 years,Weekends,MDK Health Care Center & Hospital,Horana,,,
Dr. Ayesha Sheikh,Male,Pediatrician,12 years,Everyday,Matale Base Hospital,,,,
Dr. Ayesha Hussain,Female,Dermatologist,12 years,Mon-Fri,Matale Base Hospital,,,,
Dr. Fatima Chaudhry,Male,Pediatrician,5 years,Tue-Thu,Matale Base Hospital,,,,
Dr. Ayesha Sheikh,Female,Cardiologist,14 years,Everyday,Castle stree Hospital,,,,
Dr. Bilal Raza,Female,Orthopedic Surgeon,17 years,Tue-Thu,Castle stree Hospital,,,,
Dr. Sara Hussain,Male,Pediatrician,10 years,Everyday,ETU,,,,yes
Dr. Bilal Sheikh,Male,Neurologist,15 years,Everyday,Peradeniya Dental Hospital,,7.26657893264522,80.5992619748522,
Dr. Amna Raza,Male,Dermatologist,7 years,Everyday,Peradeniya Dental Hospital,,7.26657893264522,80.5992619748522,
Dr. Ali Sheikh,Male,Pediatrician,12 years,Mon-Fri,Air Force Hospital - Colombo,Colombo 08,6.91994976931321,79.8833534826995,
Dr. Fatima Hussain,Female,Orthopedic Surgeon,19 years,Tue-Thu,Wadduwa Clinic,,,,
Dr. Zain Hussain,Female,Dermatologist,8 years,Tue-Thu,Colombo General Hospital,,6.91724358805462,79.8671953526758,yes
Dr. Ali Khan,Male,Dermatologist,18 years,Everyday,Colombo General Hospital,,6.91724358805462,79.8671953526758,yes
Dr. Ayesha Sheikh,Male,Orthopedic Surgeon,19 years,Everyday,Colombo General Hospital,,6.91724358805462,79.8671953526758,yes
Dr. Amna Hussain,Male,Dermatologist,20 years,Mon-Fri,Mahawa Base Hospital,,7.82352664276897,80.2824676929521,
Dr. Fatima Sheikh,Female,Dermatologist,5 years,Tue-Thu,Mahawa Base Hospital,,7.82352664276897,80.2824676929521,
Dr. Bilal Raza,Female,Neurologist,20 years,Tue-Thu,Sammanthurai Base Hospital,Sammanthurai,,,
Dr. Ayesha Khan,Female,Dermatologist,13 years,Mon-Fri,Lunugala District Hospital,,7.03755197797017,81.2009193432366,
Dr. Zain Raza,Female,Neurologist,16 years,Mon-Fri,Lunugala District Hospital,,7.03755197797017,81.2009193432366,
Dr. Amna Khan,Female,Neurologist,9 years,Mon-Fri,Lunugala District Hospital,,7.03755197797017,81.2009193432366,
Dr. Amna Malik,Male,Dermatologist,17 years,Mon-Fri,Lava Hospital,,,,
Dr. Bilal Ahmed,Female,Neurologist,10 years,Weekends,Deegavapi Divisional Hospital,,,,
Dr. Sara Raza,Female,Neurologist,10 years,Tue-Thu,Deegavapi Divisional Hospital,,,,
Dr. Fatima Hussain,Female,Neurologist,16 years,Everyday,District Hospitel Uva-Paranagama,,6.93819717252194,80.8904324434747,
Dr. Bilal Raza,Female,Pediatrician,14 years,Weekends,District Hospitel Uva-Paranagama,,6.93819717252194,80.8904324434747,
Dr. Fatima Chaudhry,Male,Dermatologist,10 years,Mon-Fri,District Hospitel Uva-Paranagama,,6.93819717252194,80.8904324434747,
Dr. Bilal Chaudhry,Male,Dermatologist,15 years,Weekends,Hemas Southern Hospital,,6.03585587541301,80.2161504941384,no
Dr. Bilal Khan,Male,Cardiologist,7 years,Everyday,Jaela regional hospital,,7.07504515287465,79.8940655549552,
Dr. Zain Hussain,Female,Neurologist,14 years,Tue-Thu,Divisional Hospital Kayts,Jaffna,9.69811556673946,79.8658365623523,
Dr. Ali Ahmed,Female,Orthopedic Surgeon,17 years,Everyday,Hemas Hospital Laboratory,,6.23840523615323,80.0540938561724,
Dr. Ayesha Chaudhry,Female,Orthopedic Surgeon,7 years,Mon-Fri,Hemas Hospital Laboratory,,6.23840523615323,80.0540938561724,
Dr. Sara Ahmed,Female,Orthopedic Surgeon,6 years,Mon-Fri,Bakamoona Hospital,,,,
Dr. Ali Malik,Female,Cardiologist,10 years,Everyday,Dambagalla rural hospital,,6.97995648468466,81.3750927766113,
Dr. Ali Chaudhry,Female,Orthopedic Surgeon,9 years,Tue-Thu,Dambagalla rural hospital,,6.97995648468466,81.3750927766113,
Dr. Ali Raza,Female,Neurologist,20 years,Everyday,Dambagalla rural hospital,,6.97995648468466,81.3750927766113,
Dr. Fatima Chaudhry,Female,Pediatrician,13 years,Mon-Fri,Galamuna Hospital,,,,
Dr. Sara Malik,Male,Cardiologist,14 years,Weekends,Galamuna Hospital,,,,
Dr. Ali Ahmed,Male,Dermatologist,10 years,Weekends,Galamuna Hospital,,,,
Dr. Sara Khan,Male,Dermatologist,7 years,Weekends,Divisional Hospital Pallai,,9.61465737593593,80.3254894873708,
Dr. Sara Khan,Female,Dermatologist,20 years,Tue-Thu,Divisional Hospital Pallai,,9.61465737593593,80.3254894873708,
Dr. Amna Malik,Male,Pediatrician,17 years,Everyday,Padiyathalawa Divisional Hospital,,,,
Dr. Ali Chaudhry,Male,Neurologist,9 years,Weekends,Padiyathalawa Divisional Hospital,,,,
Dr. Ali Raza,Female,Orthopedic Surgeon,11 years,Everyday,Padiyathalawa Divisional Hospital,,,,
Dr. Fatima Hussain,Male,Cardiologist,20 years,Weekends,Dompe Hospital,,,,yes
Dr. Fatima Khan,Male,Neurologist,11 years,Weekends,District General Hospital,Mannar,8.98273739760054,79.9032630173076,no
Dr. Fatima Ahmed,Female,Dermatologist,6 years,Tue-Thu,District General Hospital,Mannar,8.98273739760054,79.9032630173076,no
Dr. Fatima Malik,Male,Pediatrician,11 years,Mon-Fri,Rakwana District Hospital,Rakwana,6.47158777078363,80.6147239878173,
Dr. Ayesha Sheikh,Male,Orthopedic Surgeon,10 years,Mon-Fri,Rakwana District Hospital,Rakwana,6.47158777078363,80.6147239878173,
Dr. Sara Khan,Female,Orthopedic Surgeon,12 years,Tue-Thu,Kahataruppa Hospital,,,,
Dr. Bilal Chaudhry,Female,Pediatrician,19 years,Tue-Thu,Kahataruppa Hospital,,,,
Dr. Zain Chaudhry,Female,Dermatologist,10 years,Everyday,Katupotha Divisional Hospital,,7.53365712933802,80.1866004297763,
Dr. Ali Malik,Male,Neurologist,18 years,Mon-Fri,Katupotha Divisional Hospital,,7.53365712933802,80.1866004297763,
Dr. Omar Raza,Female,Cardiologist,18 years,Weekends,Katupotha Divisional Hospital,,7.53365712933802,80.1866004297763,
Dr. Sara Ahmed,Male,Cardiologist,12 years,Everyday,NTS Badulla,,6.99041559110262,81.0524419751449,
Dr. Ali Chaudhry,Male,Pediatrician,18 years,Tue-Thu,NTS Badulla,,6.99041559110262,81.0524419751449,
Dr. Sara Ahmed,Female,Cardiologist,17 years,Everyday,NTS Badulla,,6.99041559110262,81.0524419751449,
Dr. Ayesha Chaudhry,Female,Dermatologist,9 years,Tue-Thu,North Colombo Teaching Hospital,Ragama,,,
Dr. Sara Chaudhry,Female,Dermatologist,12 years,Weekends,Gampaha Wickramarachchi Ayurveda Teaching Hospital,,,,
Dr. Ayesha Ahmed,Female,Neurologist,11 years,Mon-Fri,Rattota Hospital,,,,
Dr. Omar Chaudhry,Female,Dermatologist,7 years,Tue-Thu,Corporative Channel Centre,Rathnapura,6.68320534492921,80.401781150961,
Dr. Sara Hussain,Male,Pediatrician,5 years,Tue-Thu,Corporative Channel Centre,Rathnapura,6.68320534492921,80.401781150961,
Dr. Sara Malik,Male,Cardiologist,17 years,Tue-Thu,Mahawalathenna Divisional Hospital,,,,
Dr. Amna Ahmed,Male,Cardiologist,12 years,Everyday,Mahawalathenna Divisional Hospital,,,,
Dr. Amna Sheikh,Male,Cardiologist,12 years,Weekends,Base Hospital,Tangalle,6.02270567516214,80.7968719638713,
Dr. Sara Ahmed,Female,Dermatologist,14 years,Tue-Thu,Base Hospital,Tangalle,6.02270567516214,80.7968719638713,
Dr. Fatima Raza,Female,Neurologist,17 years,Weekends,Central Nursing Home,,,,
Dr. Sara Malik,Female,Orthopedic Surgeon,18 years,Everyday,Central Nursing Home,,,,
Dr. Omar Raza,Male,Orthopedic Surgeon,8 years,Mon-Fri,Kandy Private Hospital,,7.31240539568481,80.6321241482533,
Dr. Omar Sheikh,Female,Orthopedic Surgeon,14 years,Weekends,Kandy Private Hospital,,7.31240539568481,80.6321241482533,
Dr. Omar Sheikh,Female,Dermatologist,11 years,Tue-Thu,Dimbulana Hospital,,,,
Dr. Fatima Sheikh,Female,Orthopedic Surgeon,18 years,Everyday,Beligala Divisional Hospital,,,,
Dr. Bilal Sheikh,Male,Pediatrician,13 years,Tue-Thu,Beligala Divisional Hospital,,,,
Dr. Bilal Sheikh,Female,Neurologist,15 years,Tue-Thu,Beligala Divisional Hospital,,,,
Dr. Zain Chaudhry,Male,Neurologist,8 years,Mon-Fri,Galewela Base Hospital,Galewela,7.76063169120201,80.5716612897111,
Dr. Ayesha Malik,Female,Neurologist,14 years,Tue-Thu,National Blood Transfusion Service,Narahenpita,,,
Dr. Ayesha Malik,Female,Pediatrician,16 years,Weekends,National Blood Transfusion Service,Narahenpita,,,
Dr. Amna Sheikh,Male,Orthopedic Surgeon,7 years,Tue-Thu,Doctors' dormitory,,,,
Dr. Ali Khan,Male,Pediatrician,17 years,Everyday,Doctors' dormitory,,,,
Dr. Amna Raza,Male,Dermatologist,16 years,Everyday,Doctors' dormitory,,,,
Dr. Ali Raza,Male,Cardiologist,18 years,Weekends,Lions Club Eye Hospital,,6.98322115215171,79.8761608877672,
Dr. Omar Sheikh,Female,Cardiologist,9 years,Weekends,Lions Club Eye Hospital,,6.98322115215171,79.8761608877672,
Dr. Amna Ahmed,Female,Dermatologist,9 years,Weekends,Lions Club Eye Hospital,,6.98322115215171,79.8761608877672,
Dr. Ayesha Hussain,Male,Cardiologist,10 years,Mon-Fri,Lunawa Aryuweda Hospital,,6.78354695183805,79.8780477379906,
Dr. Bilal Malik,Male,Cardiologist,9 years,Mon-Fri,Walasmulla,,6.14732881737433,80.6980831883444,
Dr. Sara Sheikh,Male,Cardiologist,8 years,Everyday,Walasmulla,,6.14732881737433,80.6980831883444,
Dr. Omar Chaudhry,Male,Orthopedic Surgeon,10 years,Mon-Fri,Walasmulla,,6.14732881737433,80.6980831883444,
Dr. Fatima Khan,Female,Neurologist,12 years,Mon-Fri,Auyuvedic Hospital Vavuniya ,,8.76056834846401,80.4388745929031,no
Dr. Ali Hussain,Female,Cardiologist,17 years,Tue-Thu,Auyuvedic Hospital Vavuniya ,,8.76056834846401,80.4388745929031,no
Dr. Sara Khan,Female,Neurologist,12 years,Weekends,Buttala Base Hospital,,,,
Dr. Ali Khan,Male,Cardiologist,17 years,Everyday,Buttala Base Hospital,,,,
Dr. Omar Khan,Female,Neurologist,7 years,Everyday,Divisional Hospital Karaveddy,,,,
Dr. Sara Ahmed,Male,Dermatologist,15 years,Weekends,Divisional Hospital Karaveddy,,,,
Dr. Amna Ahmed,Male,Pediatrician,15 years,Everyday,Divisional Hospital Karaveddy,,,,
Dr. Omar Hussain,Female,Neurologist,20 years,Tue-Thu,Mawarala Hospital,,6.20183138838883,80.5919816213937,
Dr. Omar Malik,Female,Pediatrician,9 years,Mon-Fri,Mawarala Hospital,,6.20183138838883,80.5919816213937,
Dr. Bilal Hussain,Female,Cardiologist,18 years,Everyday,Mawarala Hospital,,6.20183138838883,80.5919816213937,
Dr. Bilal Hussain,Female,Dermatologist,14 years,Weekends,Hospital,Weeraketiya,6.14509369907407,80.765181999629,
Dr. Bilal Malik,Male,Pediatrician,16 years,Mon-Fri,Rikillagaskada Hospital,,,,
Dr. Zain Malik,Male,Neurologist,13 years,Everyday,Rural Hospital,Mirissa,5.95312146194851,80.4541207718615,
Dr. Omar Khan,Male,Orthopedic Surgeon,18 years,Tue-Thu,Rural Hospital,Mirissa,5.95312146194851,80.4541207718615,
Dr. Ali Sheikh,Male,Cardiologist,6 years,Everyday,Karandeniya District Hospital,,,,
Dr. Sara Hussain,Male,Neurologist,10 years,Weekends,Karandeniya District Hospital,,,,
Dr. Fatima Sheikh,Female,Cardiologist,15 years,Mon-Fri,Karandeniya District Hospital,,,,
Dr. Fatima Sheikh,Male,Cardiologist,9 years,Everyday,Ayurvedic Hospital,Thambiluvil,,,
Dr. Amna Chaudhry,Female,Pediatrician,14 years,Everyday,Ayurvedic Hospital,Thambiluvil,,,
Dr. Ali Malik,Female,Pediatrician,18 years,Mon-Fri,General,colombo,6.97305608289705,79.914185642971,
Dr. Bilal Hussain,Male,Cardiologist,11 years,Weekends,Inginiyagala Divisional Hospital,,7.22626122400933,81.5421293547099,
Dr. Omar Ahmed,Male,Dermatologist,20 years,Weekends,Inginiyagala Divisional Hospital,,7.22626122400933,81.5421293547099,
Dr. Ayesha Hussain,Female,Pediatrician,13 years,Everyday,Teaching Hospital Kegalle,Kegalle,7.2474985358991,80.3457049614447,yes
Dr. Omar Chaudhry,Female,Pediatrician,11 years,Weekends,Meeravodai Rural Hospital,Meeravodai,,,
Dr. Omar Chaudhry,Male,Cardiologist,19 years,Everyday,Meeravodai Rural Hospital,Meeravodai,,,
Dr. Bilal Sheikh,Male,Neurologist,13 years,Tue-Thu,Meeravodai Rural Hospital,Meeravodai,,,
Dr. Sara Sheikh,Female,Cardiologist,14 years,Everyday,Minneriya Ayurveda Hospital,,8.0468472815825,80.9045307207935,
Dr. Zain Ahmed,Female,Pediatrician,13 years,Weekends,Minneriya Ayurveda Hospital,,8.0468472815825,80.9045307207935,
Dr. Sara Sheikh,Male,Pediatrician,5 years,Tue-Thu,Royal Hospital,,6.87602884814109,79.8638437648728,
Dr. Fatima Khan,Male,Dermatologist,10 years,Tue-Thu,Royal Hospital,,6.87602884814109,79.8638437648728,
Dr. Ayesha Hussain,Female,Orthopedic Surgeon,16 years,Mon-Fri,Divisional Hospital - Periyaulukkulama,,,,
Dr. Ali Hussain,Male,Cardiologist,9 years,Tue-Thu,Divisional Hospital - Periyaulukkulama,,,,
Dr. Fatima Raza,Female,Cardiologist,11 years,Tue-Thu,Rural Hospital,,6.23438837669539,80.8800557311649,
Dr. Sara Khan,Male,Pediatrician,11 years,Weekends,Rajgama Government Dispensary,,,,
Dr. Ayesha Sheikh,Female,Neurologist,17 years,Everyday,Rajgama Government Dispensary,,,,
Dr. Ayesha Sheikh,Male,Dermatologist,16 years,Weekends,Rajgama Government Dispensary,,,,
Dr. Sara Khan,Male,Neurologist,15 years,Weekends,Nikaweratiya Base Hospital,,,,
Dr. Bilal Hussain,Male,Pediatrician,9 years,Weekends,Hemmathagama Hospital,Hemmathagama,7.1736095448536,80.5014054345962,
Dr. Ayesha Hussain,Female,Neurologist,20 years,Weekends,Hemmathagama Hospital,Hemmathagama,7.1736095448536,80.5014054345962,
Dr. Amna Malik,Female,Dermatologist,16 years,Tue-Thu,Lanka Pharmacy,,6.98081655176929,79.9300630630574,
Dr. Omar Hussain,Female,Dermatologist,12 years,Weekends,Lanka Pharmacy,,6.98081655176929,79.9300630630574,
Dr. Sara Malik,Female,Neurologist,5 years,Everyday,Lanka Pharmacy,,6.98081655176929,79.9300630630574,
Dr. Sara Malik,Male,Pediatrician,7 years,Mon-Fri,Katugampala Weda Madura,,6.81244624523777,79.9633445830743,no
Dr. Zain Chaudhry,Male,Neurologist,15 years,Weekends,Katugampala Weda Madura,,6.81244624523777,79.9633445830743,no
Dr. Bilal Hussain,Female,Orthopedic Surgeon,17 years,Mon-Fri,Katugampala Weda Madura,,6.81244624523777,79.9633445830743,no
Dr. Ayesha Sheikh,Male,Cardiologist,17 years,Mon-Fri,Kotaligoda Hospital,,7.28950419219606,80.5133212319667,
Dr. Amna Raza,Male,Pediatrician,11 years,Mon-Fri,Kotaligoda Hospital,,7.28950419219606,80.5133212319667,
Dr. Amna Ahmed,Female,Orthopedic Surgeon,18 years,Everyday,Kotaligoda Hospital,,7.28950419219606,80.5133212319667,
Dr. Amna Sheikh,Female,Cardiologist,12 years,Everyday,Hospital,,6.33277079755644,80.3885882868229,
Dr. Zain Ahmed,Male,Cardiologist,8 years,Tue-Thu,Hospital,,6.33277079755644,80.3885882868229,
Dr. Sara Hussain,Female,Neurologist,11 years,Everyday,Hospital,,6.33277079755644,80.3885882868229,
Dr. Fatima Hussain,Male,Cardiologist,16 years,Everyday,Divisional Hospital - Atchuvely,,9.77278013528559,80.1154776344162,
Dr. Amna Hussain,Female,Orthopedic Surgeon,6 years,Everyday,Rural Hospital,,6.28828602575783,80.4016011914998,
Dr. Zain Chaudhry,Male,Dermatologist,16 years,Tue-Thu,Indika Pharmacy,Embilipitiya,6.32563687594643,80.843348527321,
Dr. Fatima Raza,Female,Neurologist,8 years,Tue-Thu,Indika Pharmacy,Embilipitiya,6.32563687594643,80.843348527321,
Dr. Omar Chaudhry,Male,Cardiologist,8 years,Tue-Thu,Indika Pharmacy,Embilipitiya,6.32563687594643,80.843348527321,
Dr. Fatima Malik,Female,Dermatologist,16 years,Everyday,Global Hospital,,,,
Dr. Zain Hussain,Female,Pediatrician,17 years,Weekends,Global Hospital,,,,
Dr. Ali Khan,Male,Dermatologist,11 years,Everyday,Prison Hospital,,,,
Dr. Bilal Malik,Female,Orthopedic Surgeon,15 years,Everyday,Prison Hospital,,,,
Dr. Amna Hussain,Male,Neurologist,8 years,Weekends,Ayulvedig Hospital,,,,
Dr. Bilal Raza,Male,Orthopedic Surgeon,16 years,Everyday,Ayulvedig Hospital,,,,
Dr. Fatima Malik,Female,Dermatologist,20 years,Tue-Thu,District Hospital Undugoda,Undugoda,,,
Dr. Zain Ahmed,Male,Dermatologist,7 years,Mon-Fri,District Hospital Undugoda,Undugoda,,,
Dr. Amna Raza,Female,Neurologist,16 years,Mon-Fri,Borella Private Hospital,Borella,6.91392435439789,79.8805169628465,
Dr. Sara Raza,Male,Neurologist,16 years,Tue-Thu,Borella Private Hospital,Borella,6.91392435439789,79.8805169628465,
Dr. Omar Malik,Female,Pediatrician,7 years,Everyday,Borella Private Hospital,Borella,6.91392435439789,79.8805169628465,
Dr. Ayesha Chaudhry,Male,Pediatrician,13 years,Tue-Thu,Durdans Medical Laboratory,,,,
Dr. Fatima Khan,Male,Neurologist,9 years,Mon-Fri,Gomarankadawala Divisional Hospital,,,,
Dr. Zain Khan,Female,Cardiologist,15 years,Everyday,Gomarankadawala Divisional Hospital,,,,
Dr. Fatima Khan,Male,Dermatologist,15 years,Everyday,Asiri Surgical Hospital,,6.89454857938395,79.8797171616457,yes
Dr. Sara Hussain,Female,Pediatrician,18 years,Tue-Thu,District Hospital Minuwangoda,,7.17255241922535,79.9563283433848,
Dr. Omar Hussain,Female,Neurologist,17 years,Weekends,District Hospital Minuwangoda,,7.17255241922535,79.9563283433848,
Dr. Bilal Raza,Male,Neurologist,8 years,Mon-Fri,Rehabilitation Hospital Digana,Digana,,,yes
Dr. Sara Malik,Male,Orthopedic Surgeon,6 years,Mon-Fri,Bentota Medical center,,,,
Dr. Amna Hussain,Female,Neurologist,13 years,Tue-Thu,Bentota Medical center,,,,
Dr. Bilal Sheikh,Female,Dermatologist,20 years,Weekends,Dehiattakandiya Base Hospital,,7.67294374060003,81.0442062523628,
Dr. Ayesha Malik,Female,Dermatologist,14 years,Mon-Fri,Dehiattakandiya Base Hospital,,7.67294374060003,81.0442062523628,
Dr. Sara Sheikh,Male,Pediatrician,17 years,Mon-Fri,Dehiattakandiya Base Hospital,,7.67294374060003,81.0442062523628,
Dr. Amna Ahmed,Male,Orthopedic Surgeon,14 years,Mon-Fri,Apeksha Cancer Hospital Maharagama,,,,
Dr. Amna Khan,Male,Pediatrician,5 years,Tue-Thu,Free Dispensary,Colombo,6.96479236455829,79.8649811891335,
Dr. Zain Hussain,Female,Pediatrician,20 years,Weekends,Free Dispensary,Colombo,6.96479236455829,79.8649811891335,
Dr. Bilal Khan,Male,Orthopedic Surgeon,18 years,Mon-Fri,De Soysa Hospital for Women,Colombo 10,6.91980643876894,79.8702448566884,yes
Dr. Omar Raza,Male,Pediatrician,14 years,Everyday,De Soysa Hospital for Women,Colombo 10,6.91980643876894,79.8702448566884,yes
Dr. Omar Raza,Female,Dermatologist,10 years,Everyday,Rural Hospital Halgolla,,7.04245203856541,80.3664891476489,
Dr. Amna Ahmed,Male,Dermatologist,12 years,Weekends,Rural Hospital Halgolla,,7.04245203856541,80.3664891476489,
Dr. Omar Ahmed,Male,Dermatologist,20 years,Weekends,Athura Hospital,,,,
Dr. Ayesha Raza,Male,Orthopedic Surgeon,6 years,Everyday,Owilikanda Hospital,,7.46121183729514,80.5873399748733,
Dr. Amna Khan,Male,Dermatologist,11 years,Everyday,Owilikanda Hospital,,7.46121183729514,80.5873399748733,
Dr. Omar Chaudhry,Female,Neurologist,12 years,Everyday,Base Hospital,Marawila,,,
Dr. Bilal Khan,Male,Dermatologist,17 years,Everyday,XX Hospital,,,,
Dr. Bilal Raza,Female,Dermatologist,14 years,Tue-Thu,XX Hospital,,,,
Dr. Fatima Sheikh,Male,Orthopedic Surgeon,16 years,Mon-Fri,deiyandara hospital,,6.15396602740228,80.6010272874796,
Dr. Ali Sheikh,Male,Cardiologist,6 years,Mon-Fri,deiyandara hospital,,6.15396602740228,80.6010272874796,
Dr. Fatima Chaudhry,Female,Neurologist,13 years,Tue-Thu,deiyandara hospital,,6.15396602740228,80.6010272874796,
Dr. Fatima Raza,Female,Orthopedic Surgeon,17 years,Everyday,Oruwala Hospital,,6.88123241745024,79.9923658331652,
Dr. Amna Malik,Female,Dermatologist,19 years,Everyday,Oruwala Hospital,,6.88123241745024,79.9923658331652,
Dr. Ayesha Hussain,Female,Neurologist,10 years,Everyday,Oruwala Hospital,,6.88123241745024,79.9923658331652,
Dr. Bilal Sheikh,Male,Orthopedic Surgeon,12 years,Tue-Thu,Padavisripura Divisional Hospital,,,,
Dr. Amna Sheikh,Male,Cardiologist,6 years,Tue-Thu,Padavisripura Divisional Hospital,,,,
Dr. Fatima Ahmed,Female,Neurologist,20 years,Tue-Thu,Divisional Hospital Kondavil,Kondavil,,,
Dr. Zain Malik,Female,Neurologist,12 years,Weekends,Divisional Hospital Kondavil,Kondavil,,,
Dr. Fatima Khan,Female,Pediatrician,10 years,Tue-Thu,Maldeniya Hospital,,,,
Dr. Ali Hussain,Male,Cardiologist,7 years,Weekends,Maldeniya Hospital,,,,
Dr. Fatima Sheikh,Male,Orthopedic Surgeon,10 years,Tue-Thu,Maldeniya Hospital,,,,
Dr. Omar Chaudhry,Male,Dermatologist,11 years,Everyday,Asiri Central Hospital,Colombo 10,,,
Dr. Amna Hussain,Female,Dermatologist,18 years,Everyday,Chest Hospital Welisara,,7.02424956235768,79.9029397273021,
